,source,target,route,size
396,1707,5054,S4,5
397,1707,5056,S1,6
398,1707,5056,S3,6
399,1707,5065,R16,6
400,1707,5065,S2,12
401,1707,5065,S4,6
402,1708,1712,R38,1
403,1708,3098,S11,2
404,1708,3098,S5,6
405,1708,3098,S6,5
406,1708,3099,S11,3
407,1708,3099,S5,6
408,1708,3099,S6,6
409,1711,1712,R34,3
410,1711,1712,R38,5
411,1711,1712,R4,4
412,1711,1712,S9,5
413,1711,1715,R14,3
414,1711,1715,S11,6
415,1711,1715,S7,3
416,1711,1715,S8,5
417,1711,2716,R14,5
418,1711,2716,S11,6
419,1711,2716,S7,5
420,1711,2716,S8,5
421,1711,2716,S9,6
422,1712,1711,R34,3
423,1712,1711,R38,3
424,1712,1711,R4,3
425,1712,1711,S9,5
426,1712,1720,R34,2
427,1712,1720,R38,5
428,1712,1720,RE11,3
429,1712,1728,RE11,1
430,1712,1728,RE2,3
431,1712,1728,RE6,3
432,1712,2147,R4,2
433,1712,2147,RE2,6
434,1712,2147,RE6,3
435,1712,2919,R4,3
436,1712,2919,R6,2
437,1712,2919,RE6,1
438,1712,3099,R6,1
439,1712,3099,RE2,3
440,1712,3169,S9,6
441,1713,1707,S1,6
442,1713,1707,S2,6
443,1713,1714,S1,6
444,1713,1714,S2,6
445,1713,1714,S5,6
446,1713,1714,S6,6
447,1713,3099,S5,6
448,1713,3099,S6,6
449,1714,1713,S1,6
450,1714,1713,S2,6
451,1714,1713,S5,6
452,1714,1713,S6,6
453,1714,1719,S1,6
454,1714,1719,S2,6
455,1714,1719,S5,6
456,1714,1719,S6,6
457,1715,1707,R28,6
458,1715,1711,R14,5
459,1715,1711,S11,6
460,1715,1711,S7,5
461,1715,1711,S8,6
462,1715,1728,R28,3
463,1715,1728,XP2,2
464,1715,3098,R21,2
465,1715,3098,R23,1
466,1715,3098,RE5,5
467,1715,3099,R6,2
468,1715,3099,RE2,3
469,1715,3099,S11,2
470,1716,779,R31,1
471,1716,1721,R31,6
472,1717,58,S9,6
473,1717,3169,S9,6
474,1718,1720,S1,5
475,1718,1720,S2,5
476,1718,3169,S5,6
477,1718,3169,S6,6
478,1718,3468,S1,6
479,1718,3468,S2,5
480,1718,3468,S5,6
481,1718,3468,S6,6
482,1719,1714,S1,6
483,1719,1714,S2,6
484,1719,1714,S5,6
485,1719,1714,S6,6
486,1719,1723,S1,6
487,1719,1723,S2,6
488,1719,1723,S5,5
489,1719,1723,S6,6
490,1720,1584,R38,5
