,source,target,size
506,2337,950.0,130
507,2345,381.0,114
508,2345,2987.0,180
509,2345,3098.0,328
510,2391,1899.0,36
511,2391,2019.0,36
512,2392,1940.0,24
513,2392,3022.0,24
514,2419,799.0,56
515,2419,1085.0,33
516,2419,1848.0,36
517,2419,2437.0,6
518,2419,2919.0,22
519,2435,2564.0,11
520,2435,2651.0,11
521,2437,734.0,59
522,2437,1085.0,69
523,2437,1128.0,47
524,2437,1974.0,60
525,2477,2275.0,24
526,2477,2632.0,24
527,2481,1188.0,42
528,2481,1739.0,48
529,2487,710.0,150
530,2487,1720.0,150
531,2504,1100.0,9
532,2504,2916.0,9
533,2513,934.0,42
534,2513,2112.0,52
535,2518,746.0,11
536,2518,964.0,11
537,2520,710.0,150
538,2520,1688.0,150
539,2557,1973.0,11
540,2564,2111.0,11
541,2564,2435.0,11
542,2573,455.0,19
543,2573,2760.0,19
544,2589,1134.0,27
545,2589,2111.0,36
546,2603,576.0,24
547,2603,734.0,42
548,2603,1835.0,48
549,2604,1688.0,150
550,2604,2820.0,125
551,2611,3134.0,36
552,2611,3380.0,39
553,2612,1119.0,88
554,2612,1930.0,66
555,2632,1919.0,24
556,2632,2477.0,24
557,2636,636.0,33
558,2636,1542.0,36
559,2640,1311.0,36
560,2640,2138.0,39
561,2651,975.0,11
562,2651,2435.0,22
563,2655,2889.0,28
564,2655,2976.0,13
565,2686,937.0,44
566,2686,1584.0,27
567,2696,819.0,87
568,2696,1230.0,198
569,2696,1841.0,12
570,2696,3222.0,18
571,2696,5052.0,141
572,2697,397.0,46
573,2697,632.0,47
574,2713,461.0,9
575,2713,1259.0,20
576,2713,1393.0,18
577,2713,3018.0,10
578,2716,1711.0,386
579,2716,1841.0,461
580,2757,948.0,10
581,2757,3018.0,20
582,2760,1846.0,23
583,2760,2195.0,9
584,2760,2573.0,19
585,2760,2916.0,11
586,2763,926.0,50
587,2763,997.0,33
588,2790,457.0,11
589,2790,746.0,33
590,2793,461.0,18
591,2793,3012.0,9
592,2808,455.0,38
593,2808,1846.0,38
594,2820,1584.0,150
595,2820,2604.0,125
596,2833,1853.0,33
597,2833,2906.0,47
598,2836,811.0,36
599,2836,2223.0,60
600,2850,2916.0,34
601,2850,3071.0,9
602,2881,1415.0,11
603,2889,1682.0,39
604,2889,2655.0,13
605,2889,2973.0,54
606,2894,1153.0,43
607,2894,2035.0,36
608,2906,636.0,47
609,2906,2833.0,33
610,2909,1618.0,95
611,2909,1917.0,114
612,2910,380.0,180
613,2910,951.0,180
614,2916,641.0,9
615,2916,2218.0,12
616,2916,2504.0,9
617,2916,2760.0,22
618,2916,2850.0,11
619,2919,734.0,4
620,2919,892.0,64
621,2919,951.0,180
622,2919,2147.0,69
623,2919,2419.0,28
624,2919,2920.0,42
625,2919,3048.0,56
626,2920,2147.0,14
627,2920,2919.0,42
628,2920,3016.0,21
629,2920,3594.0,42
630,2923,780.0,121
631,2923,1386.0,126
632,2930,891.0,108
633,2930,1604.0,66
634,2934,1402.0,36
635,2934,1407.0,24
636,2973,2889.0,39
637,2973,2981.0,67
638,2974,451.0,61
639,2974,85099.0,61
640,2976,1936.0,13
641,2976,2655.0,28
642,2981,193.0,67
643,2981,2973.0,39
644,2982,1119.0,66
645,2982,1550.0,108
646,2987,2033.0,150
647,2987,2345.0,180
648,2993,618.0,63
649,2993,1329.0,50
650,2993,1632.0,35
651,2994,1393.0,53
652,2994,1413.0,180
653,2994,1492.0,91
654,3012,1253.0,9
655,3012,2793.0,18
656,3013,1263.0,32
657,3013,1919.0,16
658,3014,2019.0,36
659,3015,807.0,16
660,3015,1550.0,16
661,3016,632.0,36
662,3016,2147.0,15
663,3016,2920.0,14
664,3016,3594.0,42
665,3016,3595.0,42
666,3018,2713.0,20
667,3018,2757.0,10
668,3022,1634.0,24
669,3022,2392.0,24
670,3025,2099.0,33
671,3032,698.0,12
672,3032,1404.0,13
673,3038,813.0,54
674,3038,1425.0,36
675,3048,1848.0,56
676,3048,2919.0,36
677,3053,367.0,21
678,3053,1858.0,5
679,3053,2036.0,63
680,3061,1690.0,150
681,3061,2147.0,180
682,3071,641.0,9
683,3071,2850.0,9
684,3074,634.0,130
685,3074,891.0,66
686,3095,1037.0,36
687,3095,1467.0,32
688,3098,766.0,19
689,3098,1554.0,70
690,3098,1708.0,309
691,3098,1715.0,50
692,3098,1728.0,9
693,3098,2345.0,328
694,3099,1708.0,328
695,3099,1712.0,49
696,3099,1713.0,294
697,3099,1715.0,67
698,3101,768.0,130
699,3101,1842.0,66
700,3109,1202.0,20
701,3114,813.0,36
702,3114,2335.0,54
703,3119,381.0,114
704,3119,1174.0,114
705,3123,964.0,11
706,3134,2138.0,36
707,3134,2611.0,39
708,3169,1712.0,126
709,3169,1717.0,126
710,3169,1718.0,294
711,3169,3507.0,275
712,3183,632.0,48
713,3183,2223.0,36
714,3222,401.0,32
715,3222,1158.0,131
716,3222,1208.0,76
717,3222,2696.0,18
718,3372,997.0,64
719,3372,1201.0,33
720,3380,2046.0,39
721,3380,2611.0,36
722,3468,1718.0,509
723,3468,1723.0,522
724,3507,2147.0,294
725,3507,3169.0,275
726,3594,2920.0,42
727,3594,3016.0,42
728,3595,3016.0,35
729,3595,3596.0,35
730,3596,632.0,42
731,3596,3595.0,35
732,5046,819.0,65
733,5046,5073.0,114
734,5046,5086.0,108
735,5048,1707.0,323
736,5048,5064.0,390
737,5048,5262.0,122
738,5048,5264.0,30
739,5048,5309.0,75
740,5048,5314.0,90
741,5048,5336.0,90
742,5048,5338.0,8
743,5049,5064.0,152
744,5049,5073.0,162
745,5051,5348.0,13
746,5052,2696.0,141
747,5052,5073.0,152
748,5053,1707.0,25
749,5053,5054.0,570
750,5054,1707.0,557
751,5054,5053.0,473
752,5056,1707.0,228
753,5056,5057.0,203
754,5057,5056.0,203
755,5057,5058.0,228
756,5058,5057.0,228
757,5058,5059.0,228
758,5059,5058.0,228
759,5059,5060.0,228
760,5060,5059.0,228
761,5060,5061.0,228
762,5061,5060.0,228
763,5061,5062.0,228
764,5062,5061.0,228
765,5062,5063.0,215
766,5063,5062.0,215
767,5063,5064.0,215
768,5064,5048.0,380
769,5064,5049.0,162
770,5064,5063.0,228
771,5065,1707.0,260
772,5065,5066.0,192
773,5065,5073.0,93
774,5066,5065.0,192
775,5066,5409.0,192
776,5069,5070.0,192
777,5069,5409.0,173
778,5070,5069.0,192
779,5070,5071.0,78
780,5071,5070.0,78
781,5071,5072.0,78
782,5072,5071.0,78
783,5072,5073.0,78
784,5073,5046.0,173
785,5073,5049.0,152
786,5073,5052.0,162
787,5073,5065.0,68
788,5073,5072.0,78
789,5086,5046.0,68
790,5086,5087.0,108
791,5087,5086.0,68
792,5087,5088.0,108
793,5088,5087.0,68
794,5088,5089.0,108
795,5089,5088.0,68
796,5089,5090.0,108
797,5090,5089.0,68
798,5090,5091.0,89
799,5091,5090.0,68
800,5091,5092.0,89
801,5092,1698.0,104
802,5092,5091.0,68
803,5093,5352.0,14
804,5093,5353.0,31
805,5093,5359.0,13
806,5094,1698.0,87
807,5094,5095.0,74
808,5095,5094.0,57
809,5095,5096.0,38
810,5095,5097.0,36
811,5096,5095.0,57
812,5096,5097.0,38
813,5097,5096.0,57
814,5097,5098.0,56
815,5098,5097.0,57
816,5151,5152.0,13
817,5151,5359.0,68
818,5151,5361.0,18
819,5152,5151.0,14
820,5152,5361.0,54
821,5152,5362.0,18
822,5152,5364.0,27
823,5154,734.0,13
824,5154,5366.0,27
825,5154,5367.0,54
826,5154,5368.0,27
827,5154,5370.0,14
828,5262,5048.0,64
829,5262,5263.0,122
830,5263,5262.0,64
831,5263,5264.0,139
832,5264,766.0,45
833,5264,5048.0,63
834,5264,5263.0,81
835,5264,5265.0,146
836,5264,5266.0,25
837,5264,5334.0,40
838,5265,5264.0,96
839,5265,5266.0,146
840,5266,5264.0,58
841,5266,5265.0,96
842,5266,5276.0,54
843,5276,5266.0,63
844,5309,5048.0,84
845,5309,5310.0,90
846,5310,5309.0,107
847,5310,5311.0,90
848,5311,5310.0,107
849,5311,5312.0,90
850,5312,5311.0,107
851,5312,5313.0,90
852,5313,5312.0,107
853,5313,5314.0,90
854,5314,5048.0,15
855,5314,5313.0,107
856,5314,5315.0,90
857,5314,5318.0,75
858,5315,5314.0,107
859,5315,5316.0,90
860,5316,5315.0,107
861,5316,5317.0,75
862,5317,5316.0,92
863,5317,5318.0,75
864,5318,5314.0,15
865,5318,5317.0,107
866,5318,5319.0,165
867,5319,5318.0,122
868,5319,5320.0,75
869,5320,5319.0,62
870,5320,5321.0,75
871,5321,5320.0,62
