stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
588,,BARBIANELLO, ,45.072261,9.205604, ,0, 
2337,,RENATE-VEDUGGIO, ,45.72845,9.279858, ,0, 
710,,BORGOLOMBARDO, ,45.404507,9.270465, ,0, 
1719,,MILANO REPUBBLICA, ,45.480419,9.198314, ,0, 
1714,,MILANO PORTA GARIBALDI SOTTERRANEA, ,45.485064,9.186416, ,0, 
2211,,PONTE D'ADDA, ,45.184449,9.790787, ,0, 
5332,,TURBIGO, ,45.52825,8.738819, ,0, 
5351,,SELLERO, ,46.053475,10.348818, ,0, 
5348,,MALONNO, ,46.118765,10.316672, ,0, 
5368,,PROVAGLIO-TIMOLINE, ,45.634972,10.035311, ,0, 
5365,,SALE MARASINO, ,45.712819,10.111593, ,0, 
5355,,CIVIDATE-MALEGNO, ,45.943378,10.268687, ,0, 
1632,,MANDELLO DEL LARIO, ,45.915073,9.321937, ,0, 
2686,,SECUGNAGO, ,45.223289,9.587047, ,0, 
5325,,COCQUIO-TREVISAGO, ,45.860292,8.689923, ,0, 
5093,,BRENO, ,45.959015,10.305803, ,0, 
1263,,DUBINO, ,46.172736,9.432369, ,0, 
5343,,GRANDATE-BRECCIA, ,45.781401,9.055325, ,0, 
85053,,BALERNA, ,45.846753,9.005084, ,0, 
1259,,DORMELLETTO, ,45.723613,8.582135, ,0, 
5091,,INVERIGO, ,45.740214,9.224567, ,0, 
2437,,ROVATO, ,45.552247,10.001067, ,0, 
1005,,CASTELLUCCHIO, ,45.1474,10.64738, ,0, 
734,,BRESCIA, ,45.532101,10.214367, ,0, 
401,,ALBATE-TRECALLO, ,45.777575,9.095851, ,0, 
618,,BELLANO TARTAVALLE TERME, ,46.039872,9.302775, ,0, 
388,,AIRUNO, ,45.755298,9.422203, ,0, 
2218,,PONTE IN VALTELLINA, ,46.162853,9.975937, ,0, 
2250,,PORTO CERESIO, ,45.903773,8.900404, ,0, 
3099,,MILANO VILLAPIZZONE, ,45.502241,9.151075, ,0, 
937,,CASALPUSTERLENGO, ,45.182336,9.653603, ,0, 
1974,,OSPITALETTO TRAVAGLIATO, ,45.546092,10.074331, ,0, 
5088,,MARIANO COMENSE, ,45.693589,9.181411, ,0, 
1425,,GHEDI, ,45.409372,10.280314, ,0, 
947,,CASLETTO-ROGENO, ,45.786125,9.275444, ,0, 
934,,CASALMAGGIORE, ,44.992939,10.424792, ,0, 
400,,ALBATE CAMERLATA, ,45.777038,9.072838, ,0, 
2820,,TAVAZZANO, ,45.326354,9.402956, ,0, 
3018,,VERGIATE, ,45.717278,8.693356, ,0, 
